difficulty_level,question,ground_truth_answer,question_type,original_question_type,must_include_facts,must_not_claim,gold_sources
L1,What is the purpose of the State Engine in the NxGen platform?,"The State Engine is the platform's coordination backbone: it manages session state, tracks discovery progress, accumulates context from multiple sources, emits state-change events for agents, and assembles optimized context windows for LLM calls.",factual,single_doc_retrieval,central nervous system of platform|manages session state|tracks discovery progress|broadcasts state changes/events|assembles context for LLM calls,stores vector embeddings|replaces KB Engine|is only a chat history store,M1_M2::Module 1 Purpose|M1_M2::1.1 API Surface|M1_M2::1.1.4 assembleContext
L1,What are the two parallel systems that make up the KB Engine?,"The KB Engine is two systems working together: Azure Foundry IQ for managed document parsing, chunking, vectorization, and retrieval over unstructured content, and the custom KB layer for the Product Relationship Graph, content classification, structured stores, tenant KB lifecycle, context assembly, and caching.",factual,single_doc_retrieval,Azure Foundry IQ|custom KB layer|Foundry IQ handles parsing/chunking/vectorization/retrieval|custom layer handles Product Relationship Graph,custom KB replaces Foundry IQ|Foundry IQ builds the Product Graph|KB Engine is only a vector store,M3::Module Purpose|M3::Critical Architecture Distinction
L1,What is the deliberate MVP tradeoff in the Data Integration Layer regarding connectors?,"MVP uses CSV/Excel import only instead of live CRM connectors. This is a deliberate tradeoff to avoid months of OAuth, API rate-limit, webhook, and connector-maintenance work while keeping the downstream mapping, transform, and sync pipeline connector-agnostic.",factual,single_doc_retrieval,CSV/Excel import only in MVP|no live CRM connectors in MVP|deliberate tradeoff|saves OAuth/API/webhook work|pipeline remains connector-agnostic,Salesforce connector is in MVP|OAuth is required in MVP|processing pipeline changes for each connector,M4::MVP vs Full Product — The Deliberate Tradeoff|M4::4.2.1 Connector Types and Roadmap|M4::4.2.2 Connector Interface Contract
L1,"What tenant isolation model was chosen in Module 5, and what alternatives were rejected?","Module 5 chooses row-level isolation with tenant_id on shared tables, enforced by application middleware, PostgreSQL RLS, and query auditing. Separate databases and separate schemas per tenant were explicitly considered and rejected.",factual,single_doc_retrieval,row-level isolation with tenant_id|application middleware|PostgreSQL RLS|query auditing|rejected separate databases|rejected separate schemas,separate database per tenant was chosen|tenant isolation relies only on app code|Redis is the primary isolation layer,M5::5.1.1 Isolation Strategy|M5::5.1.2 Enforcement Mechanisms|M5::5.1.3 What Is Isolated Per Tenant
L1,What inbound data categories does Module 4 integrate into the platform?,"Module 4 integrates three inbound categories: account/customer data, contact data, product/purchase data, plus KB content data in a limited role for product catalog CSV parsing and field mapping; it also supports outbound activity/opportunity write-back in the full product.",factual,single_doc_retrieval,account/customer data|contact data|product/purchase data|KB content data limited role|outbound write-back in full product,Module 4 owns all KB document ingestion|contacts are outbound only|transactions never go to KB Engine,M4::4.1 What Data Are We Integrating?
L2,"How does customer account data move from ingestion to actual use in a conversation, and which modules are involved?","Account data enters through Module 4 from CRM/CSV, is mapped and normalized into canonical account records, delivered to the State Engine as customer profile/context, and then consumed by agents through state reads and assembleContext during conversations.",multi_doc_synthesis,multi_doc_synthesis,Module 4 ingests/maps/normalizes account data|accounts table / canonical model|delivered to State Engine|used in session state/customer profile|assembleContext or agent reads consume it,account data goes straight to Foundry IQ only|State Engine is bypassed|agent reads raw CSV rows directly,M4::4.1 What Data Are We Integrating?|M4::4.6.1 State Engine (Module 1)|M1_M2::1.1 readState|M1_M2::1.1.4 assembleContext
L2,"If a tenant uploads a case study document, what downstream components can that single upload affect?","A case study upload fans out to blob storage, Foundry IQ indexing, content classification, metadata cataloging, and can update the Product Relationship Graph, Competitor Store, Customer Patterns, and document metadata. The upload affects retrieval, structured intelligence stores, and graph relationships at once.",multi_doc_synthesis,multi_doc_synthesis,fan-out pipeline|blob storage|Foundry IQ indexing|content classifier|KB catalog metadata|can update Product Relationship Graph|can update Competitor Store|can update Customer Patterns,case study only goes to vector index|transaction CSV behavior applies|upload updates State Engine directly,M3::3.1 Ingestion Layer|M3::3.1.2 Ingestion Caveats|M3::3.2.1 Content Classifier — Cross-KB Intelligence Extraction
L2,How do tenant-specific configuration and discovery dimensions influence what context an agent ultimately receives?,"Tenant configuration defines state schema, discovery dimensions, rules, terminology, and agent settings. The State Engine validates and stores state against that schema, while assembleContext pulls the manifest-required fields and relevant discovery progress, so the tenant configuration shapes both what is tracked and what context reaches the agent LLM call.",multi_doc_synthesis,multi_doc_synthesis,tenant config defines state schema/discovery dimensions/rules|State Engine validates against tenant schema|assembleContext selects required fields|discovery progress influences context sent to agent,tenant config only changes UI branding|agents ignore discovery dimensions|assembleContext always sends full state,M5::Module Purpose|M5::5.5 Agent Configuration|M5::5.6 State Schema Configuration|M1_M2::1.2.1 Schema Validator|M1_M2::1.1.4 assembleContext
L2,Why is Foundry IQ used as a managed layer while the Product Graph remains custom-built?,"Foundry IQ is used for managed document parsing, chunking, vectorization, hybrid retrieval, and multi-source routing because rebuilding that stack would take weeks and be inferior. The Product Graph stays custom because it is proprietary platform intelligence and the core moat for relationship inference, recommendation evidence, and traversal logic.",compare_contrast,architecture_tradeoff,Foundry IQ handles managed RAG plumbing|saves engineering time|custom Product Graph is proprietary moat|we are building on top of Foundry IQ not replacing it,Product Graph is provided by Foundry IQ|Foundry IQ was avoided due to quality|custom parsers are built for all unstructured docs,M3::Module Purpose|M3::Critical Architecture Distinction|M3::DECISION: Document Parsing Strategy|M3::3.4 Product Relationship Graph
L2,What happens operationally when a KB document is updated instead of newly uploaded?,"The system treats it as a version update: it checks the KB catalog, increments the version, updates the blob URL, triggers re-indexing in Foundry IQ, and re-runs downstream intelligence extraction as needed. For catalog-like data this can also trigger Layer 1/Layer 2 graph rebuild effects tied to the updated data.",multi_doc_synthesis,multi_doc_synthesis,deduplication/versioning check|increment version|update blob URL|trigger re-indexing in Foundry IQ|re-run relevant downstream analysis/intelligence extraction,system stores duplicates intentionally|old data is kept active without re-indexing|versioning only exists in blob storage,M3::3.1.1 Ingestion Flow — Deduplication and Versioning|M3::3.1.2 Ingestion Caveats
L3,"A new tenant provides only an account list and a minimal product catalog, but no transaction history, no rep interview, and no case studies. What parts of the NxGen platform still work, what becomes degraded, and why?","NxGen still works at a basic level because the account list and product catalog are the two true minimum blockers. The State Engine can load customer context, basic category-level recommendations still work, and the platform can fall back to industry template defaults. But recommendation quality degrades because the Product Graph loses Layer 1 transaction evidence and relies on catalog inference only; enrichment like whitespace % and lifetime value becomes unavailable; discovery becomes generic without rep input; and without case studies the system loses social proof, case-study matching, and richer competitive storytelling.",workflow_process,degraded_state_reasoning,account list and product catalog are minimum blockers|basic category recommendations still work|industry template defaults/fallbacks|no transaction history -> Layer 2 only|whitespace unavailable|lifetime value unavailable|discovery becomes generic|no case studies reduces proof/social proof,platform is blocked entirely|case studies are required for onboarding|transaction history is required for any recommendation,M5::5.7.2 Exact Information Required from Client|M5::5.7.3 Degraded States — What Works Without Full Data|M5::5.7.4 Industry Templates|M3::3.4.3 Four-Layer Graph Building Strategy|M4::4.6.1 State Engine (Module 1)
